row,col,phase
0.0,0.0,-339.59801025072284
0.0,1.0,-417.6929900378159
0.0,2.0,-488.916602317302
0.0,3.0,-552.8790834378565
0.0,4.0,-609.2049369441052
0.0,5.0,-657.5418091123547
0.0,6.0,-697.56987645034
0.0,7.0,-729.0112782131987
0.0,8.0,-31.639031712178166
0.0,9.0,-45.28482153633013
0.0,10.0,-49.845073803116065
0.0,11.0,-45.28482153633013
0.0,12.0,-31.639031712178166
0.0,13.0,-729.0112782131996
0.0,14.0,-697.5698764503409
0.0,15.0,-657.5418091123556
0.0,16.0,-609.2049369441061
0.0,17.0,-552.8790834378578
0.0,18.0,-488.9166023173034
0.0,19.0,-417.6929900378168
0.0,20.0,-339.59801025072466
1.0,0.0,-417.6929900378159
1.0,1.0,-497.38309531284494
1.0,2.0,-570.1200019200605
1.0,3.0,-635.4918917174296
1.0,4.0,-693.1004976702206
1.0,5.0,-742.570755416677
1.0,6.0,-63.56111321006938
1.0,7.0,-95.77397989227802
1.0,8.0,-118.96567095353066
1.0,9.0,-132.95514883351962
1.0,10.0,-137.63086889915712
1.0,11.0,-132.95514883351962
1.0,12.0,-118.96567095353157
1.0,13.0,-95.77397989227939
1.0,14.0,-63.56111321007029
1.0,15.0,-742.5707554166779
1.0,16.0,-693.1004976702211
1.0,17.0,-635.4918917174314
1.0,18.0,-570.1200019200624
1.0,19.0,-497.38309531284676
1.0,20.0,-417.6929900378168
2.0,0.0,-488.916602317302
2.0,1.0,-570.1200019200605
2.0,2.0,-644.2959858008148
2.0,3.0,-711.011221962583
2.0,4.0,-49.845073803116065
2.0,5.0,-100.4000228597547
2.0,6.0,-142.31291178626043
2.0,7.0,-175.2664337207193
2.0,8.0,-199.0001470155862
2.0,9.0,-213.32020999917904
2.0,10.0,-218.10703894993048
2.0,11.0,-213.32020999917904
2.0,12.0,-199.00014701558712
2.0,13.0,-175.2664337207193
2.0,14.0,-142.3129117862618
2.0,15.0,-100.40002285975561
2.0,16.0,-49.845073803116975
2.0,17.0,-711.0112219625848
2.0,18.0,-644.2959858008162
2.0,19.0,-570.1200019200624
2.0,20.0,-488.9166023173043
3.0,0.0,-552.8790834378565
3.0,1.0,-635.4918917174296
3.0,2.0,-711.011221962583
3.0,3.0,-58.98319687691901
3.0,4.0,-118.96567095353066
3.0,5.0,-170.5394010136224
3.0,6.0,-213.32020999917904
3.0,7.0,-246.9715181645115
3.0,8.0,-271.2164383967515
3.0,9.0,-285.8485248860452
3.0,10.0,-290.7402640469568
3.0,11.0,-285.8485248860452
3.0,12.0,-271.21643839675244
3.0,13.0,-246.9715181645115
3.0,14.0,-213.32020999917995
3.0,15.0,-170.53940101362332
3.0,16.0,-118.96567095353157
3.0,17.0,-58.983196876920374
3.0,18.0,-711.0112219625848
3.0,19.0,-635.4918917174318
3.0,20.0,-552.8790834378583
4.0,0.0,-609.2049369441052
4.0,1.0,-693.1004976702206
4.0,2.0,-49.845073803116065
4.0,3.0,-118.96567095353066
4.0,4.0,-179.9999999999991
4.0,5.0,-232.50835190345242
4.0,6.0,-276.086643728509
4.0,7.0,-310.3799611505269
4.0,8.0,-335.0957135009289
4.0,9.0,-350.01538465179783
4.0,10.0,-355.0038520824087
4.0,11.0,-350.01538465179783
4.0,12.0,-335.0957135009303
4.0,13.0,-310.3799611505283
4.0,14.0,-276.0866437285099
4.0,15.0,-232.50835190345333
4.0,16.0,-180.00000000000045
4.0,17.0,-118.96567095353203
4.0,18.0,-49.845073803116975
4.0,19.0,-693.100497670222
4.0,20.0,-609.2049369441061
5.0,0.0,-657.5418091123547
5.0,1.0,-742.570755416677
5.0,2.0,-100.4000228597547
5.0,3.0,-170.5394010136224
5.0,4.0,-232.50835190345242
5.0,5.0,-285.8485248860452
5.0,6.0,-330.13761757470775
5.0,7.0,-365.00386398994215
5.0,8.0,-390.1401899771381
5.0,9.0,-405.31691712620704
5.0,10.0,-410.39187359951666
5.0,11.0,-405.31691712620704
5.0,12.0,-390.1401899771381
5.0,13.0,-365.0038639899435
5.0,14.0,-330.13761757470957
5.0,15.0,-285.84852488604565
5.0,16.0,-232.50835190345333
5.0,17.0,-170.53940101362332
5.0,18.0,-100.40002285975606
5.0,19.0,-742.5707554166793
5.0,20.0,-657.5418091123561
6.0,0.0,-697.56987645034
6.0,1.0,-63.56111321006938
6.0,2.0,-142.31291178626043
6.0,3.0,-213.32020999917904
6.0,4.0,-276.086643728509
6.0,5.0,-330.13761757470775
6.0,6.0,-375.0348839095941
6.0,7.0,-410.3918735995162
6.0,8.0,-75.88875037554953
6.0,9.0,-91.28597678353754
6.0,10.0,-96.435144616863
6.0,11.0,-91.28597678353754
6.0,12.0,-75.88875037554953
6.0,13.0,-410.39187359951666
6.0,14.0,-375.034883909595
6.0,15.0,-330.13761757470957
6.0,16.0,-276.0866437285108
6.0,17.0,-213.32020999917995
6.0,18.0,-142.31291178626225
6.0,19.0,-63.56111321007165
6.0,20.0,-697.5698764503413
7.0,0.0,-729.0112782131987
7.0,1.0,-95.77397989227802
7.0,2.0,-175.2664337207193
7.0,3.0,-246.9715181645115
7.0,4.0,-310.3799611505269
7.0,5.0,-365.00386398994215
7.0,6.0,-410.3918735995162
7.0,7.0,-86.1452157716576
7.0,8.0,-111.93350454310166
7.0,9.0,-127.50903615769403
7.0,10.0,-132.7182297062268
7.0,11.0,-127.50903615769539
7.0,12.0,-111.93350454310166
7.0,13.0,-86.14521577165806
7.0,14.0,-410.39187359951666
7.0,15.0,-365.0038639899435
7.0,16.0,-310.3799611505283
7.0,17.0,-246.97151816451196
7.0,18.0,-175.26643372072022
7.0,19.0,-95.77397989227939
7.0,20.0,-729.011278213201
8.0,0.0,-31.639031712178166
8.0,1.0,-118.96567095353066
8.0,2.0,-199.0001470155862
8.0,3.0,-271.2164383967515
8.0,4.0,-335.0957135009289
8.0,5.0,-390.1401899771381
8.0,6.0,-75.88875037554953
8.0,7.0,-111.93350454310166
8.0,8.0,-137.9361708694637
8.0,9.0,-153.64292409319523
8.0,10.0,-158.89630164773507
8.0,11.0,-153.64292409319523
8.0,12.0,-137.93617086946506
8.0,13.0,-111.93350454310166
8.0,14.0,-75.88875037554999
8.0,15.0,-390.140189977139
8.0,16.0,-335.09571350093074
8.0,17.0,-271.21643839675335
8.0,18.0,-199.00014701558712
8.0,19.0,-118.96567095353248
8.0,20.0,-31.639031712179076
9.0,0.0,-45.28482153633013
9.0,1.0,-132.95514883351962
9.0,2.0,-213.32020999917904
9.0,3.0,-285.8485248860452
9.0,4.0,-350.01538465179783
9.0,5.0,-405.31691712620704
9.0,6.0,-91.28597678353754
9.0,7.0,-127.50903615769403
9.0,8.0,-153.64292409319523
9.0,9.0,-169.43002033824268
9.0,10.0,-174.71045413324737
9.0,11.0,-169.43002033824268
9.0,12.0,-153.6429240931957
9.0,13.0,-127.50903615769539
9.0,14.0,-91.28597678353754
9.0,15.0,-405.31691712620795
9.0,16.0,-350.0153846517983
9.0,17.0,-285.8485248860461
9.0,18.0,-213.32020999917995
9.0,19.0,-132.95514883352052
9.0,20.0,-45.28482153633149
10.0,0.0,-49.845073803116065
10.0,1.0,-137.63086889915712
10.0,2.0,-218.10703894993048
10.0,3.0,-290.7402640469568
10.0,4.0,-355.0038520824087
10.0,5.0,-410.39187359951666
10.0,6.0,-96.435144616863
10.0,7.0,-132.7182297062268
10.0,8.0,-158.89630164773507
10.0,9.0,-174.71045413324737
10.0,10.0,-179.99999999999955
10.0,11.0,-174.71045413324828
10.0,12.0,-158.89630164773644
10.0,13.0,-132.7182297062277
10.0,14.0,-96.43514461686345
10.0,15.0,-410.3918735995171
10.0,16.0,-355.00385208241005
10.0,17.0,-290.7402640469586
10.0,18.0,-218.10703894993276
10.0,19.0,-137.6308688991594
10.0,20.0,-49.84507380311834
11.0,0.0,-45.28482153633013
11.0,1.0,-132.95514883351962
11.0,2.0,-213.32020999917904
11.0,3.0,-285.8485248860452
11.0,4.0,-350.01538465179783
11.0,5.0,-405.31691712620704
11.0,6.0,-91.28597678353754
11.0,7.0,-127.50903615769539
11.0,8.0,-153.64292409319523
11.0,9.0,-169.43002033824268
11.0,10.0,-174.71045413324828
11.0,11.0,-169.43002033824314
11.0,12.0,-153.6429240931957
11.0,13.0,-127.50903615769539
11.0,14.0,-91.28597678353754
11.0,15.0,-405.31691712620795
11.0,16.0,-350.0153846517983
11.0,17.0,-285.8485248860461
11.0,18.0,-213.32020999918132
11.0,19.0,-132.9551488335219
11.0,20.0,-45.28482153633149
12.0,0.0,-31.639031712178166
12.0,1.0,-118.96567095353157
12.0,2.0,-199.00014701558712
12.0,3.0,-271.21643839675244
12.0,4.0,-335.0957135009303
12.0,5.0,-390.1401899771381
12.0,6.0,-75.88875037554953
12.0,7.0,-111.93350454310166
12.0,8.0,-137.93617086946506
12.0,9.0,-153.6429240931957
12.0,10.0,-158.89630164773644
12.0,11.0,-153.6429240931957
12.0,12.0,-137.93617086946506
12.0,13.0,-111.93350454310257
12.0,14.0,-75.88875037555044
12.0,15.0,-390.140189977139
12.0,16.0,-335.0957135009312
12.0,17.0,-271.2164383967538
12.0,18.0,-199.00014701558848
12.0,19.0,-118.96567095353248
12.0,20.0,-31.63903171218044
13.0,0.0,-729.0112782131996
13.0,1.0,-95.77397989227939
13.0,2.0,-175.2664337207193
13.0,3.0,-246.9715181645115
13.0,4.0,-310.3799611505283
13.0,5.0,-365.0038639899435
13.0,6.0,-410.39187359951666
13.0,7.0,-86.14521577165806
13.0,8.0,-111.93350454310166
13.0,9.0,-127.50903615769539
13.0,10.0,-132.7182297062277
13.0,11.0,-127.50903615769539
13.0,12.0,-111.93350454310257
13.0,13.0,-86.14521577165851
13.0,14.0,-410.3918735995171
13.0,15.0,-365.0038639899435
13.0,16.0,-310.3799611505292
13.0,17.0,-246.97151816451242
13.0,18.0,-175.26643372072022
13.0,19.0,-95.7739798922803
13.0,20.0,-729.011278213201
14.0,0.0,-697.5698764503409
14.0,1.0,-63.56111321007029
14.0,2.0,-142.3129117862618
14.0,3.0,-213.32020999917995
14.0,4.0,-276.0866437285099
14.0,5.0,-330.13761757470957
14.0,6.0,-375.034883909595
14.0,7.0,-410.39187359951666
14.0,8.0,-75.88875037554999
14.0,9.0,-91.28597678353754
14.0,10.0,-96.43514461686345
14.0,11.0,-91.28597678353754
14.0,12.0,-75.88875037555044
14.0,13.0,-410.3918735995171
14.0,14.0,-375.03488390959546
14.0,15.0,-330.13761757471
14.0,16.0,-276.0866437285108
14.0,17.0,-213.32020999918132
14.0,18.0,-142.3129117862627
14.0,19.0,-63.56111321007165
14.0,20.0,-697.5698764503422
15.0,0.0,-657.5418091123556
15.0,1.0,-742.5707554166779
15.0,2.0,-100.40002285975561
15.0,3.0,-170.53940101362332
15.0,4.0,-232.50835190345333
15.0,5.0,-285.84852488604565
15.0,6.0,-330.13761757470957
15.0,7.0,-365.0038639899435
15.0,8.0,-390.140189977139
15.0,9.0,-405.31691712620795
15.0,10.0,-410.3918735995171
15.0,11.0,-405.31691712620795
15.0,12.0,-390.140189977139
15.0,13.0,-365.0038639899435
15.0,14.0,-330.13761757471
15.0,15.0,-285.8485248860461
15.0,16.0,-232.50835190345333
15.0,17.0,-170.53940101362423
15.0,18.0,-100.40002285975697
15.0,19.0,-742.5707554166797
15.0,20.0,-657.541809112357
16.0,0.0,-609.2049369441061
16.0,1.0,-693.1004976702211
16.0,2.0,-49.845073803116975
16.0,3.0,-118.96567095353157
16.0,4.0,-180.00000000000045
16.0,5.0,-232.50835190345333
16.0,6.0,-276.0866437285108
16.0,7.0,-310.3799611505283
16.0,8.0,-335.09571350093074
16.0,9.0,-350.0153846517983
16.0,10.0,-355.00385208241005
16.0,11.0,-350.0153846517983
16.0,12.0,-335.0957135009312
16.0,13.0,-310.3799611505292
16.0,14.0,-276.0866437285108
16.0,15.0,-232.50835190345333
16.0,16.0,-180.00000000000182
16.0,17.0,-118.96567095353248
16.0,18.0,-49.84507380311834
16.0,19.0,-693.1004976702234
16.0,20.0,-609.2049369441074
17.0,0.0,-552.8790834378578
17.0,1.0,-635.4918917174314
17.0,2.0,-711.0112219625848
17.0,3.0,-58.983196876920374
17.0,4.0,-118.96567095353203
17.0,5.0,-170.53940101362332
17.0,6.0,-213.32020999917995
17.0,7.0,-246.97151816451196
17.0,8.0,-271.21643839675335
17.0,9.0,-285.8485248860461
17.0,10.0,-290.7402640469586
17.0,11.0,-285.8485248860461
17.0,12.0,-271.2164383967538
17.0,13.0,-246.97151816451242
17.0,14.0,-213.32020999918132
17.0,15.0,-170.53940101362423
17.0,16.0,-118.96567095353248
17.0,17.0,-58.98319687692083
17.0,18.0,-711.0112219625862
17.0,19.0,-635.4918917174327
17.0,20.0,-552.8790834378588
18.0,0.0,-488.9166023173034
18.0,1.0,-570.1200019200624
18.0,2.0,-644.2959858008162
18.0,3.0,-711.0112219625848
18.0,4.0,-49.845073803116975
18.0,5.0,-100.40002285975606
18.0,6.0,-142.31291178626225
18.0,7.0,-175.26643372072022
18.0,8.0,-199.00014701558712
18.0,9.0,-213.32020999917995
18.0,10.0,-218.10703894993276
18.0,11.0,-213.32020999918132
18.0,12.0,-199.00014701558848
18.0,13.0,-175.26643372072022
18.0,14.0,-142.3129117862627
18.0,15.0,-100.40002285975697
18.0,16.0,-49.84507380311834
18.0,17.0,-711.0112219625862
18.0,18.0,-644.2959858008167
18.0,19.0,-570.1200019200642
18.0,20.0,-488.9166023173052
19.0,0.0,-417.6929900378168
19.0,1.0,-497.38309531284676
19.0,2.0,-570.1200019200624
19.0,3.0,-635.4918917174318
19.0,4.0,-693.100497670222
19.0,5.0,-742.5707554166793
19.0,6.0,-63.56111321007165
19.0,7.0,-95.77397989227939
19.0,8.0,-118.96567095353248
19.0,9.0,-132.95514883352052
19.0,10.0,-137.6308688991594
19.0,11.0,-132.9551488335219
19.0,12.0,-118.96567095353248
19.0,13.0,-95.7739798922803
19.0,14.0,-63.56111321007165
19.0,15.0,-742.5707554166797
19.0,16.0,-693.1004976702234
19.0,17.0,-635.4918917174327
19.0,18.0,-570.1200019200642
