a,h,e,angle
11.8,10.5,2.3,153.14870710722084
13.0,4.3,2.0,33.15979981529963
3.5,6.0,2.5,-4.666465722917287
13.1,2.3,1.5,116.71872997013146
9.6,9.4,1.9,-139.68600080974733
3.1,9.8,2.2,-128.20564578659278
5.2,16.6,2.4,-14.283408924524226
8.5,14.3,2.1,62.27331378663303
13.6,3.0,2.3,83.52463413946074
13.7,3.2,1.5,88.25869355418178
3.9,2.3,1.4,118.74306631303912
13.7,8.3,1.7,-117.67986103309086
13.5,18.9,2.4,152.16289130736106
7.7,10.9,2.1,175.356993777612
11.6,13.9,1.6,102.12387698814145
3.7,4.1,2.7,60.24698601424039
6.9,11.2,1.4,-147.33476152051014
13.1,5.9,2.2,-59.8308791848479
11.5,16.6,2.6,-130.7641534653399
13.6,8.1,2.4,-157.80310336635395
9.9,6.2,2.0,-33.87883702421519
2.3,14.4,2.7,67.53089576259994
12.3,4.7,2.1,13.560838860902614
13.3,6.2,2.2,-75.94693432518164
10.1,16.7,2.3,-78.47137618298137
11.2,2.3,2.3,113.86879226641788
10.9,19.4,1.8,-118.10987537141948
6.5,11.3,1.8,-174.00623072254055
9.9,4.0,2.1,55.22951050179508
4.0,8.2,2.7,-97.65439952696109
10.5,12.2,2.2,114.3237982156006
2.3,4.2,2.4,61.70333118663872
5.2,14.4,2.6,51.53693499280343
2.4,13.1,2.5,117.20479076930728
3.1,9.1,1.7,-86.4873422099862
11.9,12.9,1.5,140.20326458082658
10.3,19.2,2.2,-153.9792369160184
5.6,18.7,1.9,-49.08298990287945
13.5,4.3,2.4,11.872452411275937
2.3,10.1,1.5,-106.82424211696863
7.2,5.8,1.6,9.652871044699951
6.4,6.8,1.4,-13.890325549573072
11.2,19.8,2.6,138.1080740485453
11.6,3.7,1.3,77.40309532592893
4.2,5.6,2.5,6.820414723601607
7.8,5.2,2.3,9.21293278330116
7.3,4.5,1.5,53.526754111693776
9.7,14.7,1.3,116.3276147188995
10.5,18.8,1.7,-78.68966060699721
11.1,12.4,1.8,132.77665937681547
5.2,13.0,1.7,147.4375045605797
10.2,2.3,1.5,117.50043162249231
9.9,3.3,1.7,86.07042735634347
3.9,8.1,2.0,-68.15391517153583
3.3,18.9,1.6,-12.957758858100942
7.9,5.4,1.6,21.255837557438408
13.6,9.6,1.8,-162.70738923224812
5.9,17.7,1.8,-9.01680608383704
9.0,12.1,2.6,103.6016924923896
4.6,6.2,2.5,-18.367269810283045
11.1,5.1,1.8,14.902998973799845
5.0,3.9,2.2,68.28239449497244
8.0,3.3,2.5,81.18526129943157
10.4,14.3,1.3,125.84480793765036
12.7,18.5,1.3,-11.713489237488812
13.6,6.7,1.5,-42.045051202329454
8.5,15.8,1.5,66.9274093625528
3.6,14.9,2.7,42.00355068551391
3.8,3.6,1.5,82.67421644717992
5.0,11.9,2.7,131.37050249961226
12.2,6.7,2.7,-114.0996909897232
4.9,19.8,2.4,-121.84055836359404
11.8,8.3,2.5,-153.8189290744687
4.8,19.7,1.6,-45.53177254968804
13.2,11.9,2.1,112.51850488113767
6.0,18.6,1.5,-8.364815824383703
4.3,11.6,2.3,162.8507597029827
4.9,15.4,2.7,12.083728987127198
9.4,6.2,1.6,-11.257678156314505
7.6,8.6,1.5,-79.02337754939168
6.1,5.6,1.6,18.874571716202627
12.0,15.9,2.5,-104.24891308968456
9.0,11.4,2.1,153.69218979892258
8.6,2.8,1.6,103.0616258325141
13.1,9.6,1.5,-134.2777401404786
5.3,16.0,2.7,-15.247747492976364
11.1,19.7,1.8,-129.6152192202534
11.1,9.5,1.5,-121.830445532073
6.4,5.3,2.0,19.21231803787177
8.8,3.1,1.7,93.29152308403006
2.8,10.8,2.3,-163.27911994458867
2.5,16.9,2.5,-4.6663576402991
8.3,5.2,2.7,-6.872464540453913
11.4,7.0,2.0,-77.64766212057964
13.3,6.9,2.7,-132.89747199136642
3.5,11.9,1.6,-168.5768388891076
8.8,4.5,2.6,26.553361432707806
7.5,18.6,2.6,-135.3811423057849
2.1,5.4,1.7,30.609005660128084
5.9,8.2,1.9,-78.49819839972162
3.9,6.6,2.6,-32.12238375306744
11.5,18.1,2.0,-112.01851199736622
5.6,9.2,2.0,-114.74606857661244
8.2,17.5,2.1,-57.425629060899794
3.9,12.5,1.7,167.00208722496075
9.2,11.7,2.2,138.03384193644257
5.1,8.4,2.7,-114.05805667064752
9.8,19.2,1.8,-98.99429264273132
10.3,8.3,1.4,-73.0427954342831
11.0,15.9,1.8,9.762518614618733
7.3,16.1,2.7,-49.42002825645011
2.9,6.6,1.8,-9.257347790230313
4.7,2.0,2.1,126.09085209990754
13.0,19.6,2.5,127.64447201851566
3.8,8.7,1.7,-76.60426035564673
11.9,18.7,2.1,-148.73452841632113
8.4,5.4,1.9,10.612100887749094
14.0,11.7,1.3,-173.35462064797642
2.8,16.7,1.4,67.82843616085886
7.2,16.7,2.4,-44.04345750973224
3.2,9.2,2.5,-120.05064508308936
13.6,11.0,2.7,96.25459146415967
2.0,12.5,2.5,138.33194105895393
11.3,17.1,1.5,7.711691563483178
11.8,16.4,1.4,44.95034356195882
12.5,8.7,1.4,-94.57669758786882
