a (Top Surface Length),h (Height),e,phase
4.2,2.0,1.24,-48.46560650786921
4.7,2.0,2.25,-48.74066875009655
2.8,2.0,2.72,-48.66104015290386
7.1,2.0,1.24,-48.59967516898436
10.0,2.0,1.24,-48.12050922751531
5.7,2.0,2.72,-49.29714714139663
2.3,2.0,2.53,-49.004216517795
12.9,2.0,1.24,-48.95340847137056
3.3,2.1,1.24,-50.36465835736311
6.2,2.1,1.24,-50.51244923653966
9.1,2.1,1.24,-50.43874702727384
7.6,2.0,2.25,-49.192416451796994
10.5,2.0,2.25,-49.88011480323988
5.2,2.0,2.53,-49.19832094117727
8.6,2.0,2.72,-49.992637965014914
11.5,2.0,2.72,-51.166317376565694
4.8,2.1,2.72,-51.79387962215807
7.7,2.1,2.72,-52.55296222121545
10.6,2.1,2.72,-53.56092029667554
12.0,2.1,1.24,-51.03144655517397
13.5,2.1,2.72,-55.25294099638424
3.9,2.2,2.72,-54.09998829174253
13.4,2.0,2.25,-50.948800843721074
3.8,2.1,2.25,-51.46302904443273
8.1,2.0,2.53,-49.56051883652232
6.8,2.2,2.72,-54.97817223108133
11.0,2.0,2.53,-50.54985935819481
9.7,2.2,2.72,-55.94017116547293
6.7,2.1,2.25,-51.6391573514262
5.3,2.2,1.24,-53.35400251307633
9.6,2.1,2.25,-52.282277388998615
12.6,2.2,2.72,-57.720370943134746
2.5,2.3,2.72,-56.25823203583057
13.9,2.0,2.53,-51.95272999685787
5.9,2.3,2.72,-57.22535707039352
8.8,2.3,2.72,-58.29674654940072
8.2,2.2,1.24,-53.44243161656394
11.1,2.2,1.24,-53.682823132968366
4.3,2.1,2.53,-51.51939264750087
11.7,2.3,2.72,-60.12889820454407
7.2,2.1,2.53,-52.23609179283753
12.5,2.1,2.25,-53.36340969457894
10.1,2.1,2.53,-52.85464633646868
2.4,2.2,2.25,-53.76976516647807
13.0,2.1,2.53,-54.46958538308744
14.0,2.2,1.24,-54.13109824882885
4.4,2.3,1.24,-55.31283291156817
7.3,2.3,1.24,-55.80917767251534
3.4,2.2,2.53,-53.86247285717469
5.0,2.4,2.72,-59.536644083702136
6.3,2.2,2.53,-54.601991876014246
9.2,2.2,2.53,-55.2649350573272
12.1,2.2,2.53,-56.73746794799019
7.9,2.4,2.72,-60.55570646167652
10.2,2.3,1.24,-56.05385032586202
13.1,2.3,1.24,-56.46057908785173
10.8,2.4,2.72,-62.45026413230624
2.9,2.2,2.25,-53.846516118858965
13.7,2.4,2.72,-65.48941438438035
3.0,2.4,1.24,-58.17383102095781
5.8,2.2,2.25,-53.985396675524605
3.5,2.4,1.24,-57.6974631457605
8.7,2.2,2.25,-54.83018868534999
11.6,2.2,2.25,-55.91985998787044
4.9,2.3,2.25,-56.49390884342747
6.4,2.4,1.24,-57.66660900520643
2.0,2.3,2.53,-56.24949496673376
9.3,2.4,1.24,-57.86655182517677
5.4,2.3,2.53,-56.80948178207837
3.6,2.5,2.72,-61.85482240610847
4.1,2.5,2.72,-62.00886544955773
7.0,2.5,2.72,-63.16134704645826
12.2,2.4,1.24,-58.60685336583087
9.9,2.5,2.72,-65.05225440541676
2.1,2.5,1.24,-60.565261300153566
12.8,2.5,2.72,-67.6607533427545
2.7,2.6,2.72,-63.997401407058994
6.1,2.6,2.72,-65.52728592236373
8.3,2.3,2.53,-57.718557074011535
9.0,2.6,2.72,-67.2875840353116
11.9,2.6,2.72,-69.91756568475373
5.5,2.5,1.24,-60.12453698895588
7.8,2.3,2.25,-57.006706917847865
8.4,2.5,1.24,-60.12266527544132
11.2,2.3,2.53,-59.174911544569774
4.5,2.4,2.53,-59.24598917546621
11.3,2.5,1.24,-60.42351929520766
10.7,2.3,2.25,-57.97840825578042
7.4,2.4,2.53,-60.30209472238913
13.6,2.3,2.25,-59.94874725495024
10.3,2.4,2.53,-61.7668245152179
