a,h,e,angle
12.3,16.4,1.8,-26.87509849826623
10.0,16.6,1.5,33.588570044618535
8.2,5.1,1.9,22.74179308384591
5.5,6.1,2.5,-20.12466466574836
10.5,7.8,2.5,-127.83445988189216
6.4,7.5,1.8,-52.7720960595194
8.8,2.3,2.7,114.10127292409965
12.7,13.3,2.6,-3.4166905881842133
12.2,11.1,2.4,126.42910868863562
12.8,18.6,2.0,-145.45989109015434
13.3,18.6,2.4,163.6081382474494
11.8,12.7,2.2,86.37725753636175
2.0,7.4,2.3,-42.95617259146811
2.0,9.6,2.2,-115.2489691297291
2.9,19.7,2.4,-94.70778463317048
5.1,3.3,2.6,85.27719727756175
2.2,5.5,2.5,18.469321798730054
6.9,15.5,2.6,-9.714544968261125
5.9,19.1,2.7,-136.63264792822557
8.4,15.6,2.2,3.472136977519823
13.2,6.1,1.5,-17.250615481750195
5.5,5.4,2.0,18.717717225470736
5.9,11.8,2.7,129.15929167292643
12.4,10.7,2.0,161.04856455252923
5.9,18.4,2.2,-70.1345471130685
3.6,13.5,1.8,133.20084635991873
8.0,6.3,1.3,2.1170056700535347
12.3,20.0,2.6,113.97856624730063
6.4,12.6,2.0,136.68448844154452
10.4,4.8,1.4,41.958037547614175
9.5,16.5,2.7,-103.64245430613148
7.3,14.7,1.8,80.53579999123986
7.6,10.0,2.4,-171.73037294656783
13.5,3.6,2.0,63.27992186881505
2.9,5.9,1.4,18.52310634055425
5.3,3.6,2.6,74.80644839855383
7.3,9.6,1.6,-114.92841775038542
9.0,18.7,2.2,-121.52406175477373
12.6,7.3,2.7,-138.95425234488005
7.5,17.9,2.1,-62.86651769603856
7.1,18.8,1.5,-20.903297532519176
11.0,10.0,2.7,153.94083853659157
7.5,16.4,2.7,-65.01770570091648
12.4,13.6,2.3,27.072146659478403
7.5,12.8,2.0,125.18595719877196
7.9,3.2,1.7,90.8659692364092
7.7,13.1,2.0,114.88865497706136
4.7,2.7,2.5,105.06529778691144
2.9,15.3,2.7,34.13873235547172
2.7,9.2,2.1,-102.21542812858516
12.7,14.1,1.6,89.94735052371286
4.7,12.2,2.4,137.38476865257263
12.4,15.1,1.7,42.607215694837805
10.6,4.3,2.5,29.105044493249896
12.5,16.0,1.4,54.75400757079801
13.3,15.7,2.1,-65.70065355582015
3.6,17.9,1.5,23.379968879161677
6.5,15.7,1.5,77.8084509439
13.8,13.5,2.6,-47.00218554707391
9.7,11.0,2.1,161.62499282616477
12.8,12.8,1.4,149.80226023719115
7.7,4.3,2.6,40.83898328231043
2.1,7.6,1.6,-34.07471746340612
9.5,6.3,2.4,-55.47912356666121
4.7,7.8,2.7,-88.35897793551057
8.2,14.6,1.8,78.84662369714579
10.7,12.5,2.2,102.67639541932596
9.3,5.3,1.9,10.73219207387156
9.1,4.3,1.4,59.389285113386414
7.1,11.5,1.5,-163.52915731877198
4.9,5.2,2.4,20.56463696305593
7.0,9.1,2.3,-134.84420544449245
2.1,2.5,1.4,113.51576042373826
9.3,10.4,2.0,-173.2939795039234
13.6,5.2,2.1,-22.890530623454605
3.1,6.2,1.4,9.624841898643307
2.3,13.7,2.2,112.7343509540242
12.7,7.5,2.0,-107.0445406411448
4.9,8.9,1.6,-83.09094785696654
2.0,17.6,2.6,-29.009611367277188
11.8,11.3,1.3,-156.05194132054157
3.7,2.0,1.3,126.9321748242761
12.6,11.0,2.0,151.4527172306704
3.1,5.4,2.5,18.777557964480195
6.1,6.3,2.1,-19.193974566700074
9.1,12.3,1.9,138.57267674803617
9.0,10.7,1.7,-161.98544798702164
10.0,10.7,2.4,153.08612393235867
9.7,19.8,1.5,-71.67929404882496
7.1,10.0,2.1,-154.16772449915769
3.6,18.6,1.9,-29.0975528386987
11.1,6.5,2.7,-94.86505058305768
4.8,13.8,2.5,80.66995660893859
9.8,6.0,2.7,-59.33876146566055
12.4,4.9,1.4,35.11472780624344
2.9,9.5,2.1,-113.26823082064048
13.7,12.7,1.4,149.48825695000463
2.3,3.5,1.9,84.79034907935393
12.1,13.9,1.9,66.63095465612362
12.1,14.6,2.4,-34.28970959161073
2.5,5.3,1.3,37.02993129856487
8.5,9.2,1.9,-126.918924328234
13.4,10.0,2.2,162.4146179784219
5.7,10.8,2.2,-175.5360266967986
11.7,14.0,2.3,18.134857565218024
9.2,10.3,1.3,-120.65592831459357
11.5,11.5,2.5,111.84466063259286
11.6,12.4,2.2,99.41950816370364
2.5,3.1,1.5,96.98942514149
5.3,10.2,2.1,-149.80533896657548
9.8,14.8,2.1,30.550140387211314
7.8,3.0,2.4,92.87865954735564
13.7,16.3,2.1,-98.92655486872944
11.0,16.6,2.3,-89.54435060132623
8.8,3.8,2.1,65.62174698084254
5.5,6.9,1.4,-15.04833564989081
5.0,8.3,2.0,-81.03856242631444
12.7,9.7,1.9,-166.93080134055515
7.3,8.8,2.7,-145.26983637640805
11.8,13.4,2.6,10.220824141731358
3.1,11.3,1.6,-149.42793088299626
12.4,11.4,2.4,114.56723643003176
2.2,12.8,2.5,127.74502620664468
12.9,2.7,1.9,101.29324585098897
12.9,6.3,2.6,-100.6978366016145
8.2,7.3,1.7,-50.03204193084332
3.4,5.9,1.8,11.659373172802264
4.1,2.6,1.4,110.57555256993028
