a,h,e,angle
4.0,15.5,2.72,-111.09853275141478
11.2,2.3,2.53,-59.16757862747851
8.0,7.7,2.53,107.704862131133
10.2,12.5,2.25,-36.03016803015784
13.7,16.3,2.25,134.44077671235436
5.9,8.9,2.53,82.3510231890759
2.9,11.0,1.24,87.04208435912813
11.8,12.0,1.24,42.60855062544703
6.6,7.1,1.24,-176.88102756507874
9.3,13.3,2.53,-69.34056477335655
4.2,16.6,1.24,-56.40715560875404
2.9,13.2,1.24,31.311640460071352
3.8,10.1,2.72,51.30036224900995
12.3,2.5,2.53,-66.1414308859306
5.7,16.6,2.72,-161.07205115260882
6.8,19.0,2.72,100.36334327322346
10.2,5.9,2.53,162.78459646223595
12.2,3.1,2.25,-83.89919771650388
11.4,14.3,2.25,-102.0449331405178
6.7,8.7,1.24,140.49390488914142
4.3,16.0,2.25,-103.2586079749989
10.1,10.9,1.24,74.84063533181308
2.0,9.6,2.53,86.62134930994245
5.4,16.2,2.25,-116.5303142196498
10.1,4.3,2.25,-121.8643181359168
9.4,8.4,1.24,143.88169997400303
6.1,16.5,2.53,-149.9531535436483
14.0,3.6,2.53,-111.6354484703186
3.3,15.2,2.53,-89.01338522886395
11.1,13.8,2.72,-116.43533327286498
3.8,18.9,2.25,173.79545478150547
7.4,13.4,1.24,18.059073023953044
12.3,9.1,2.25,41.4193632594645
6.5,14.2,2.53,-79.21978623149585
2.9,8.8,1.24,143.48837485821187
9.0,4.1,2.53,-115.56197896222588
5.3,10.2,2.53,45.11829454402757
3.4,16.8,2.53,-136.38414180124585
10.7,5.2,2.53,-168.67955895004562
8.0,18.7,1.24,-116.69299715655188
4.2,12.2,2.25,4.775368956223423
3.1,16.4,1.24,-48.99799606063828
4.5,3.9,2.25,-98.51238900587587
3.6,2.5,2.72,-61.87643143248661
6.1,5.6,1.24,-137.4470457140938
13.5,19.6,2.72,-17.83082032885202
8.5,11.4,2.25,2.8072039735987016
4.9,19.1,2.25,158.38311956806177
7.5,6.2,2.53,169.66745990333254
10.5,4.2,1.24,-104.09474423659822
8.8,14.0,2.53,-88.55269558990534
9.6,18.1,2.72,85.78818472188138
12.6,13.9,2.53,-123.69576822772363
6.8,12.5,1.24,41.23233462135632
11.2,13.3,1.24,12.726334328934596
3.9,3.0,2.25,-74.21128781391997
2.6,10.5,2.53,53.75170360441954
6.3,8.8,2.25,94.5770041253782
12.1,19.0,2.25,64.2959327301134
6.8,3.7,2.53,-97.5744156401274
13.9,4.2,2.25,-132.44363058901024
9.6,7.2,2.25,126.8064071555848
6.3,2.2,2.53,-54.601991876014246
13.3,12.0,2.72,-78.06999216806736
12.9,14.4,1.24,-19.565824305754905
12.5,5.7,2.72,142.24269856301996
5.1,4.8,2.25,-126.2222546087889
5.5,2.5,1.24,-60.12453698895588
11.6,10.9,2.72,-24.38103033788461
10.7,11.8,1.24,51.29835684095625
8.1,11.5,2.53,-10.838310655061369
13.8,7.0,1.24,173.48278544779936
8.0,3.3,2.53,-86.9557156623472
14.0,14.6,1.24,-25.74392921673485
8.1,9.3,2.53,52.89508104878692
8.2,6.5,2.72,145.34305092813227
11.5,5.0,1.24,-125.80318409110316
6.9,18.5,1.24,-108.83673461942104
7.7,7.2,2.72,120.8072950266732
3.4,19.0,2.53,156.45725915542278
11.4,3.3,2.72,-94.32357002232008
9.1,7.9,2.53,91.29992935756104
10.2,3.7,2.53,-104.08301734840168
11.9,13.6,2.25,-81.7054906670395
4.6,18.6,2.72,144.42803233050742
12.5,18.9,1.24,-135.73835054030954
13.0,18.2,1.24,-119.45836962918408
5.6,4.1,2.25,-105.84595698950248
11.0,14.4,2.53,-123.57682527472748
6.3,6.6,2.25,170.32479321425578
5.3,5.8,2.53,-163.30389198013768
4.0,19.9,2.53,122.59085188753431
10.4,4.8,1.24,-119.5561911391542
8.5,17.9,2.72,110.628106898736
12.3,4.7,2.25,-146.47816314138268
5.2,17.3,2.72,-179.49655405053915
4.1,19.3,2.72,127.60294684610744
7.4,2.4,2.53,-60.30209472238913
7.9,19.2,2.72,76.85683533925366
11.7,8.2,1.24,144.64779751618613
3.4,12.4,2.72,-16.47935726579119
2.5,11.1,2.25,46.31954664852049
9.8,19.2,2.25,94.0381676325807
2.3,5.7,2.25,-146.85587416532792
3.6,6.9,2.53,166.71355389939364
10.7,3.0,2.53,-80.49940744056114
8.3,12.5,2.72,-49.32918118604959
8.7,14.6,2.25,-89.20168885180517
12.1,5.9,1.24,-151.22655482082138
11.9,2.6,2.72,-69.91756568475373
8.2,2.2,1.24,-53.44243161656394
5.3,16.8,1.24,-64.17284594204115
3.3,6.5,1.24,-158.25687311360912
12.8,14.9,2.72,161.80535189634784
13.8,15.7,2.53,117.42337680933556
13.4,11.5,1.24,51.564992834397415
10.0,18.0,2.53,100.55041220934092
3.0,12.6,1.24,46.25233499134431
2.8,18.1,2.53,-170.60206459109813
4.2,10.0,2.53,59.01017229280637
2.3,16.6,2.72,-132.9074404278179
11.0,12.2,2.72,-56.33623198415015
3.7,17.3,2.25,-138.4555692806658
10.0,9.3,1.24,118.41713351343088
11.8,5.4,2.53,173.86617315572306
9.1,12.3,2.25,-24.635717206278
6.7,19.6,2.53,97.74848583297218
12.2,9.7,1.24,101.32343626532187
5.8,9.5,2.25,75.4284537278381
6.0,14.9,2.53,-96.30539570251146
11.7,6.0,2.25,159.84431855217005
8.2,8.7,2.72,62.86011638078068
5.2,4.2,2.53,-110.071773264483
11.1,7.3,1.24,170.93199926516567
4.0,2.4,2.25,-58.96783272582218
13.3,5.5,2.25,169.9447874763744
4.7,2.7,2.53,-67.17182029312801
3.0,6.0,2.53,-161.0933865481244
2.8,11.5,2.72,13.945224837838976
11.5,9.3,2.72,19.86131201578876
12.2,5.3,2.25,-172.89458511894398
11.1,18.2,2.53,75.35981639542021
11.3,19.3,1.24,-140.9860255113711
13.7,9.7,2.72,-9.703780099898298
7.9,6.1,2.25,179.60182836581123
11.7,12.6,1.24,27.83536265932862
7.3,9.6,1.24,115.76826212733168
13.4,18.0,2.72,23.846267991908476
2.0,3.0,2.72,-74.18616088652816
13.9,10.8,1.24,68.14865377972022
9.2,5.1,2.72,-161.2635839064083
6.3,19.7,2.72,84.22250661971253
9.0,8.5,2.25,85.28994116984789
5.7,12.3,1.24,48.88810386271757
3.9,11.7,2.72,0.876069345366698
10.4,13.5,2.53,-84.9714891262489
10.6,5.8,2.25,176.01084701843718
11.8,14.2,1.24,-11.07670589539708
6.4,10.4,2.25,44.086531912417485
5.0,5.4,1.24,-131.30674397400824
6.3,13.2,1.24,24.646840676718515
6.2,9.4,1.24,123.15678496144096
13.3,9.9,1.24,93.31441137966824
11.3,10.5,2.25,10.697315032834393
5.5,9.0,2.72,74.33047911819645
9.6,9.4,2.25,52.38748282144428
11.4,12.1,2.53,-47.50240692895606
12.4,10.7,2.25,-1.7882139919405098
13.0,11.6,2.25,-27.80415644192844
9.5,3.4,2.25,-89.76255603903815
2.8,2.8,2.25,-68.59910222420814
4.6,9.9,1.24,113.00553348168522
12.7,4.6,1.24,-115.97444088188604
7.2,10.1,2.72,26.88723375310065
10.3,14.1,2.25,-83.3903035164181
11.6,17.5,2.53,88.73344696114964
5.0,3.2,2.25,-79.95728698206084
8.9,9.1,1.24,126.03688308109314
4.7,15.9,1.24,-39.25559680569547
2.0,16.2,1.24,-42.75781357571393
11.4,16.5,2.25,170.8405944223867
2.2,10.6,2.72,46.395427623429214
7.0,6.9,2.53,145.82701208492497
5.0,16.3,2.53,-133.50423825842682
4.5,6.1,1.24,-149.1476599223799
10.3,18.5,1.24,-117.1861292239612
13.2,6.1,1.24,-159.19157532830403
2.0,14.0,2.25,-36.05143321881994
11.2,8.9,2.25,56.12608175271885
11.9,18.0,1.24,-107.27059629079564
13.1,13.2,2.53,-98.9524432474948
13.9,8.6,1.24,127.97636069615923
3.3,8.6,2.72,105.1588876208217
8.3,19.1,2.53,89.72924083885334
12.2,14.0,2.72,-142.23420926725845
10.0,13.6,2.72,-98.20145942356238
13.6,16.9,2.25,110.09858421681842
