a,h,e,phase
8.6,2.0,2.72,-49.98783093537131
5.2,2.0,2.53,-49.19852134342605
13.9,2.0,2.53,-51.95272999685787
10.5,2.0,2.25,-49.88476989034902
6.7,2.1,2.25,-51.81915417345221
10.1,2.1,2.53,-52.95305813405315
7.1,2.0,1.24,-48.59967516898436
3.3,2.1,1.24,-50.365101619448346
12.0,2.1,1.24,-51.03144655517397
6.3,2.2,2.53,-54.601991876014246
8.2,2.2,1.24,-53.44243161656394
4.4,2.3,1.24,-55.31283291156817
4.8,2.1,2.72,-51.79387962215807
11.2,2.3,2.53,-59.16757862747851
13.5,2.1,2.72,-55.25294099638424
9.7,2.2,2.72,-55.94017116547293
7.4,2.4,2.53,-60.30209472238913
2.9,2.2,2.25,-53.846516118858965
11.6,2.2,2.25,-55.91985998787044
13.1,2.3,1.24,-56.46057908785173
7.8,2.3,2.25,-57.006706917847865
9.3,2.4,1.24,-57.86655182517677
12.3,2.5,2.53,-66.1414308859306
4.0,2.4,2.25,-58.96783272582218
12.7,2.4,2.25,-62.29866253685022
2.1,2.5,1.24,-60.565261300153566
8.5,2.6,2.53,-66.20925836976491
4.7,2.7,2.53,-67.17182029312801
13.4,2.7,2.53,-74.15249550231268
2.5,2.3,2.72,-56.24366128450838
8.9,2.5,2.25,-62.86045156048515
5.5,2.5,1.24,-60.12453698895588
5.1,2.6,2.25,-64.26135293003891
9.6,2.8,2.53,-73.07653439473283
10.4,2.6,1.24,-62.95516809696121
2.4,2.9,2.53,-71.5416465730572
5.8,2.9,2.53,-73.20809503173838
10.7,3.0,2.53,-80.49940744056114
3.5,3.1,2.53,-77.27080704169668
3.2,2.7,1.24,-64.94682612294133
13.8,2.6,2.25,-69.62766703462283
6.6,2.7,1.24,-65.51993360771333
10.0,2.7,2.25,-69.28271939825166
5.9,2.3,2.72,-57.21964363946751
11.5,2.8,1.24,-68.66154291417011
10.8,2.4,2.72,-62.46680782473317
2.8,2.8,2.25,-68.59910222420814
6.2,2.8,2.25,-69.91879598267546
6.9,3.1,2.53,-79.45207074336837
4.3,2.9,1.24,-69.86658995855161
11.8,3.2,2.53,-89.43466094784193
3.6,2.5,2.72,-61.87643143248661
4.6,3.3,2.53,-83.41316015067368
7.7,2.9,1.24,-70.388457826755
12.6,3.0,1.24,-73.49941893700974
11.1,2.9,2.25,-76.09310096705751
8.0,3.3,2.53,-86.9557156623472
3.9,3.0,2.25,-74.21128781391997
7.3,3.0,2.25,-76.1346063138007
12.9,3.4,2.53,-99.4523515591662
12.2,3.1,2.25,-83.89919771650388
5.0,3.2,2.25,-79.95728698206084
5.7,3.5,2.53,-90.22867827588335
7.0,2.5,2.72,-63.23058357912077
5.4,3.1,1.24,-75.21094332606548
11.9,2.6,2.72,-69.91756568475373
8.4,3.2,2.25,-82.74030344697097
8.8,3.1,1.24,-75.63703444292169
8.1,2.7,2.72,-69.35679074109527
13.7,3.2,1.24,-79.08563960456807
9.1,3.5,2.53,-94.70105767206746
9.9,3.3,1.24,-80.82904595489691
14.0,3.6,2.53,-111.6354484703186
2.7,3.4,1.24,-81.83257209504247
6.8,3.7,2.53,-97.5744156401274
13.0,2.8,2.72,-78.50158071852127
11.0,3.5,1.24,-85.74785972009362
3.8,3.6,1.24,-87.38107547294439
9.2,2.9,2.72,-76.84088298398157
10.2,3.7,2.53,-104.08301734840168
2.0,3.0,2.72,-74.18616088652816
3.0,3.8,2.53,-95.56014927569429
7.9,3.9,2.53,-105.89844109309612
13.3,3.3,2.25,-92.80531687513718
10.3,3.1,2.72,-84.76882799901588
